pair_key,task_id,seed,memory_type,status,score_delta,f1_effect,share_f1,withhold_f1,share_success,withhold_success,share_predicted,withhold_predicted
interv_51_beneficial_s41,51,41,beneficial,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_51_irrelevant_s41,51,41,irrelevant,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_51_conflicting_s41,51,41,conflicting,valid_complete,0.0,-0.2286,0.5714,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
interv_51_role_mismatched_s41,51,41,role_mismatched,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_51_beneficial_s42,51,42,beneficial,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_51_irrelevant_s42,51,42,irrelevant,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_51_conflicting_s42,51,42,conflicting,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'REDUNDANT_INDEX']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_51_role_mismatched_s42,51,42,role_mismatched,valid_complete,1.0,0.1714,0.5714,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']"
interv_51_beneficial_s43,51,43,beneficial,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_51_irrelevant_s43,51,43,irrelevant,valid_complete,0.0,-0.2286,0.5714,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
